eval	cov	id	coreGenome
1e-05	10.0	30.0	4433
1e-05	20.0	30.0	4423
1e-05	30.0	30.0	4409
1e-05	40.0	30.0	4380
1e-05	50.0	30.0	4343
1e-05	60.0	30.0	4297
1e-05	70.0	30.0	4233
1e-05	80.0	30.0	4162
1e-05	90.0	30.0	3925
1e-05	100.0	30.0	2031
1e-05	70.0	0.0	4233
1e-05	70.0	10.0	4233
1e-05	70.0	20.0	4233
1e-05	70.0	30.0	4233
1e-05	70.0	40.0	4231
1e-05	70.0	50.0	4217
1e-05	70.0	60.0	4151
1e-05	70.0	70.0	3822
1e-05	70.0	80.0	2672
1e-05	70.0	90.0	935
1e-05	70.0	100.0	5
1e-05	0.0	30.0	4435
